id,name,url,match_logs,logs
0024cb81,Florian Micheler,https://fbref.com/en/players/0024cb81/Florian-Micheler,https://fbref.com/en/players/0024cb81/matchlogs/2021-2022/summary/Florian-Micheler-Match-Logs,{'2021-2022': '2021-2022'}
cb9ec45d,Clement Michelin,https://fbref.com/en/players/cb9ec45d/Clement-Michelin,https://fbref.com/en/players/cb9ec45d/matchlogs/2021-2022/summary/Clement-Michelin-Match-Logs,"{'2016-2017': '2016-2017', '2017-2018': '2017-2018', '2018-2019': '2018-2019', '2019-2020': '2019-2020', '2020-2021': '2020-2021', '2021-2022': '2021-2022'}"
17a3a4ba,Nikolaos Michelis,https://fbref.com/en/players/17a3a4ba/Nikolaos-Michelis,https://fbref.com/en/players/17a3a4ba/matchlogs/2021-2022/summary/Nikolaos-Michelis-Match-Logs,"{'2020-2021': '2020-2021', '2021-2022': '2021-2022'}"
afb9a19f,Ryohei Michibuchi,https://fbref.com/en/players/afb9a19f/Ryohei-Michibuchi,https://fbref.com/en/players/afb9a19f/matchlogs/2021-2022/summary/Ryohei-Michibuchi-Match-Logs,"{'2017': '2017', '2018': '2018', '2019': '2019', '2020': '2020', '2021-2022': '2021-2022'}"
629e70af,Philipp Michl,https://fbref.com/en/players/629e70af/Philipp-Michl,https://fbref.com/en/players/629e70af/matchlogs/2021-2022/summary/Philipp-Michl-Match-Logs,"{'2020-2021': '2020-2021', '2021-2022': '2021-2022'}"
5ad141cb,Peter Michorl,https://fbref.com/en/players/5ad141cb/Peter-Michorl,https://fbref.com/en/players/5ad141cb/matchlogs/2021-2022/summary/Peter-Michorl-Match-Logs,"{'2017-2018': '2017-2018', '2018-2019': '2018-2019', '2019-2020': '2019-2020', '2020-2021': '2020-2021', '2021-2022': '2021-2022'}"
fe6c1add,Edouard Michut,https://fbref.com/en/players/fe6c1add/Edouard-Michut,https://fbref.com/en/players/fe6c1add/matchlogs/2021-2022/summary/Edouard-Michut-Match-Logs,{'2020-2021': '2020-2021'}
94bcdb0a,Leroy-Jacques Mickels,https://fbref.com/en/players/94bcdb0a/Leroy-Jacques-Mickels,https://fbref.com/en/players/94bcdb0a/matchlogs/2021-2022/summary/Leroy-Jacques-Mickels-Match-Logs,"{'2019-2020': '2019-2020', '2020-2021': '2020-2021', '2021-2022': '2021-2022'}"
a4f2eb97,Jessica Miclat,https://fbref.com/en/players/a4f2eb97/Jessica-Miclat,https://fbref.com/en/players/a4f2eb97/matchlogs/2021-2022/summary/Jessica-Miclat-Match-Logs,{'National Team': 'nat_tm'}
66391b28,Justin Mico,https://fbref.com/en/players/66391b28/Justin-Mico,https://fbref.com/en/players/66391b28/matchlogs/2021-2022/summary/Justin-Mico-Match-Logs,{'National Team': 'nat_tm'}
98cd66a3,Novak Micovic,https://fbref.com/en/players/98cd66a3/Novak-Micovic,https://fbref.com/en/players/98cd66a3/matchlogs/2021-2022/summary/Novak-Micovic-Match-Logs,"{'2018-2019': '2018-2019', '2019-2020': '2019-2020', '2020-2021': '2020-2021', '2021-2022': '2021-2022'}"
ac5566ac,David Miculescu,https://fbref.com/en/players/ac5566ac/David-Miculescu,https://fbref.com/en/players/ac5566ac/matchlogs/2021-2022/summary/David-Miculescu-Match-Logs,"{'2020-2021': '2020-2021', '2021-2022': '2021-2022'}"
75d49287,Omar Midani,https://fbref.com/en/players/75d49287/Omar-Midani,https://fbref.com/en/players/75d49287/matchlogs/2021-2022/summary/Omar-Midani-Match-Logs,{'National Team': 'nat_tm'}
19aff7fe,Zaher Midani,https://fbref.com/en/players/19aff7fe/Zaher-Midani,https://fbref.com/en/players/19aff7fe/matchlogs/2021-2022/summary/Zaher-Midani-Match-Logs,{'National Team': 'nat_tm'}
e823ee1c,Ben Middlemas,https://fbref.com/en/players/e823ee1c/Ben-Middlemas,https://fbref.com/en/players/e823ee1c/matchlogs/2021-2022/summary/Ben-Middlemas-Match-Logs,{'2021-2022': '2021-2022'}
85d5ccdb,Glenn Middleton,https://fbref.com/en/players/85d5ccdb/Glenn-Middleton,https://fbref.com/en/players/85d5ccdb/matchlogs/2021-2022/summary/Glenn-Middleton-Match-Logs,"{'2016-2017': '2016-2017', '2017-2018': '2017-2018', '2018-2019': '2018-2019', '2019-2020': '2019-2020', '2020-2021': '2020-2021', '2021-2022': '2021-2022'}"
7b57c56a,Fredrik Midtsjo,https://fbref.com/en/players/7b57c56a/Fredrik-Midtsjo,https://fbref.com/en/players/7b57c56a/matchlogs/2021-2022/summary/Fredrik-Midtsjo-Match-Logs,"{'2011-2012': '2011-2012', '2012-2013': '2012-2013', '2014': '2014', '2015': '2015', '2015-2016': '2015-2016', '2016': '2016', '2016-2017': '2016-2017', '2017': '2017', '2017-2018': '2017-2018', '2018-2019': '2018-2019', '2019-2020': '2019-2020', '2020-2021': '2020-2021', '2021-2022': '2021-2022', 'National Team': 'nat_tm'}"
cefa8300,Tomasz Midzierski,https://fbref.com/en/players/cefa8300/Tomasz-Midzierski,https://fbref.com/en/players/cefa8300/matchlogs/2021-2022/summary/Tomasz-Midzierski-Match-Logs,{'2021-2022': '2021-2022'}
b92e54dc,Daryl van Mieghem,https://fbref.com/en/players/b92e54dc/Daryl-van-Mieghem,https://fbref.com/en/players/b92e54dc/matchlogs/2021-2022/summary/Daryl-van-Mieghem-Match-Logs,"{'2011-2012': '2011-2012', '2012-2013': '2012-2013', '2014-2015': '2014-2015', '2015-2016': '2015-2016', '2016-2017': '2016-2017', '2017-2018': '2017-2018', '2018-2019': '2018-2019', '2019-2020': '2019-2020', '2020-2021': '2020-2021', '2021-2022': '2021-2022'}"
1f81fd9b,Hiram Mier,https://fbref.com/en/players/1f81fd9b/Hiram-Mier,https://fbref.com/en/players/1f81fd9b/matchlogs/2021-2022/summary/Hiram-Mier-Match-Logs,"{'2014-2015': '2014-2015', '2015-2016': '2015-2016', '2016-2017': '2016-2017', '2017-2018': '2017-2018', '2018-2019': '2018-2019', '2019-2020': '2019-2020', '2020-2021': '2020-2021', '2021-2022': '2021-2022', 'National Team': 'nat_tm'}"
0370609a,Javier Mier,https://fbref.com/en/players/0370609a/Javier-Mier,https://fbref.com/en/players/0370609a/matchlogs/2021-2022/summary/Javier-Mier-Match-Logs,"{'2018-2019': '2018-2019', '2019-2020': '2019-2020', '2020-2021': '2020-2021', '2021-2022': '2021-2022'}"
44c16979,Ramon Mierez,https://fbref.com/en/players/44c16979/Ramon-Mierez,https://fbref.com/en/players/44c16979/matchlogs/2021-2022/summary/Ramon-Mierez-Match-Logs,"{'2016': '2016', '2016-2017': '2016-2017', '2017-2018': '2017-2018', '2018-2019': '2018-2019', '2019-2020': '2019-2020', '2020-2021': '2020-2021', '2021-2022': '2021-2022'}"
8a387393,Fabian Miesenbock,https://fbref.com/en/players/8a387393/Fabian-Miesenbock,https://fbref.com/en/players/8a387393/matchlogs/2021-2022/summary/Fabian-Miesenbock-Match-Logs,"{'2018-2019': '2018-2019', '2019-2020': '2019-2020', '2020-2021': '2020-2021', '2021-2022': '2021-2022'}"
8caa5c5f,Veronique Mifsud,https://fbref.com/en/players/8caa5c5f/Veronique-Mifsud,https://fbref.com/en/players/8caa5c5f/matchlogs/2021-2022/summary/Veronique-Mifsud-Match-Logs,"{'2019-2020': '2019-2020', '2020-2021': '2020-2021', '2021-2022': '2021-2022', 'National Team': 'nat_tm'}"
477ac27b,Drini Miftari,https://fbref.com/en/players/477ac27b/Drini-Miftari,https://fbref.com/en/players/477ac27b/matchlogs/2021-2022/summary/Drini-Miftari-Match-Logs,"{'2020-2021': '2020-2021', '2021-2022': '2021-2022'}"
10ec4169,Alexander Mighten,https://fbref.com/en/players/10ec4169/Alexander-Mighten,https://fbref.com/en/players/10ec4169/matchlogs/2021-2022/summary/Alexander-Mighten-Match-Logs,"{'2019-2020': '2019-2020', '2020-2021': '2020-2021', '2021-2022': '2021-2022'}"
eacea489,Daniele Mignanelli,https://fbref.com/en/players/eacea489/Daniele-Mignanelli,https://fbref.com/en/players/eacea489/matchlogs/2021-2022/summary/Daniele-Mignanelli-Match-Logs,"{'2015-2016': '2015-2016', '2016-2017': '2016-2017', '2017-2018': '2017-2018', '2018-2019': '2018-2019', '2019-2020': '2019-2020', '2020-2021': '2020-2021', '2021-2022': '2021-2022'}"
d436eb94,Simon Mignolet,https://fbref.com/en/players/d436eb94/Simon-Mignolet,https://fbref.com/en/players/d436eb94/matchlogs/2021-2022/summary/Simon-Mignolet-Match-Logs,"{'2010-2011': '2010-2011', '2011-2012': '2011-2012', '2012-2013': '2012-2013', '2013-2014': '2013-2014', '2014-2015': '2014-2015', '2015-2016': '2015-2016', '2016-2017': '2016-2017', '2017-2018': '2017-2018', '2018-2019': '2018-2019', '2019-2020': '2019-2020', '2020-2021': '2020-2021', '2021-2022': '2021-2022', 'National Team': 'nat_tm'}"
69f115ca,Maxime Mignon,https://fbref.com/en/players/69f115ca/Maxime-Mignon,https://fbref.com/en/players/69f115ca/matchlogs/2021-2022/summary/Maxime-Mignon-Match-Logs,"{'2015-2016': '2015-2016', '2020-2021': '2020-2021', '2021-2022': '2021-2022'}"
6763373d,Miguel,https://fbref.com/en/players/6763373d/Miguel,https://fbref.com/en/players/6763373d/matchlogs/2021-2022/summary/Miguel-Match-Logs,"{'2018-2019': '2018-2019', '2019-2020': '2019-2020', '2020-2021': '2020-2021', '2021-2022': '2021-2022'}"
b66d1d8a,Florian Miguel,https://fbref.com/en/players/b66d1d8a/Florian-Miguel,https://fbref.com/en/players/b66d1d8a/matchlogs/2021-2022/summary/Florian-Miguel-Match-Logs,"{'2014-2015': '2014-2015', '2015-2016': '2015-2016', '2016-2017': '2016-2017', '2017-2018': '2017-2018', '2018-2019': '2018-2019', '2019-2020': '2019-2020', '2020-2021': '2020-2021', '2021-2022': '2021-2022'}"
d307e883,Joao Miguel,https://fbref.com/en/players/d307e883/Joao-Miguel,https://fbref.com/en/players/d307e883/matchlogs/2021-2022/summary/Joao-Miguel-Match-Logs,{'2021-2022': '2021-2022'}
